pred 40t vol,prop,act vol,av1,av2,av3,av4,av5
111130,0.0556937,2227.75,891.099,445.549,445.549,222.775,222.775,7.08537
48833.6,0.0244733,978.932,391.573,195.786,195.786,97.8932,97.8932,7.09277
29749.3,0.0149091,596.363,238.545,119.273,119.273,59.6363,59.6363,7.09035
27429,0.0137462,549.849,219.94,109.97,109.97,54.9849,54.9849,7.09184
38322.9,0.0192058,768.231,307.293,153.646,153.646,76.8231,76.8231,7.10734
71456.7,0.035811,1432.44,572.977,286.488,286.488,143.244,143.244,7.14061
39710.5,0.0199012,796.048,318.419,159.21,159.21,79.6048,79.6048,7.14696
33795.1,0.0169366,677.466,270.986,135.493,135.493,67.7466,67.7466,7.13554
14723.5,0.0073788,295.152,118.061,59.0304,59.0304,29.5152,29.5152,7.13139
17676.4,0.00885865,354.346,141.738,70.8692,70.8692,35.4346,35.4346,7.12655
21857.1,0.0109538,438.153,175.261,87.6305,87.6305,43.8153,43.8153,7.12246
26253.1,0.0131569,526.277,210.511,105.255,105.255,52.6277,52.6277,7.12264
31996.3,0.0160352,641.408,256.563,128.282,128.282,64.1408,64.1408,7.14243
20618,0.0103329,413.315,165.326,82.663,82.663,41.3315,41.3315,7.14545
30262,0.015166,606.64,242.656,121.328,121.328,60.664,60.664,7.14803
108913,0.0545824,2183.3,873.319,436.659,436.659,218.33,218.33,7.17437
121188,0.0607344,2429.38,971.75,485.875,485.875,242.938,242.938,7.19256
115425,0.0578459,2313.84,925.535,462.768,462.768,231.384,231.384,7.21472
52930.6,0.0265265,1061.06,424.424,212.212,212.212,106.106,106.106,7.20445
48739.3,0.024426,977.041,390.816,195.408,195.408,97.7041,97.7041,7.2053
47442.9,0.0237764,951.054,380.422,190.211,190.211,95.1054,95.1054,7.20264
20466.8,0.0102571,410.282,164.113,82.0564,82.0564,41.0282,41.0282,7.19441
28202.8,0.014134,565.36,226.144,113.072,113.072,56.536,56.536,7.19221
16026,0.00803154,321.262,128.505,64.2523,64.2523,32.1262,32.1262,7.18587
15871.2,0.00795399,318.159,127.264,63.6319,63.6319,31.8159,31.8159,7.18526
23814.4,0.0119347,477.39,190.956,95.4779,95.4779,47.739,47.739,7.18224
17040.6,0.00854003,341.601,136.64,68.3202,68.3202,34.1601,34.1601,7.1773
12619.9,0.00632454,252.982,101.193,50.5963,50.5963,25.2982,25.2982,7.18396
15761.1,0.0078988,315.952,126.381,63.1904,63.1904,31.5952,31.5952,7.18547
21675.8,0.010863,434.518,173.807,86.9036,86.9036,43.4518,43.4518,7.19184
18312.9,0.00917762,367.105,146.842,73.421,73.421,36.7105,36.7105,7.19716
12550.4,0.00628971,251.588,100.635,50.3177,50.3177,25.1588,25.1588,7.19634
16539.6,0.00828895,331.558,132.623,66.3116,66.3116,33.1558,33.1558,7.19367
15064.9,0.00754987,301.995,120.798,60.3989,60.3989,30.1995,30.1995,7.1962
10699.5,0.00536213,214.485,85.7941,42.897,42.897,21.4485,21.4485,7.19604
16178.9,0.00810816,324.326,129.73,64.8652,64.8652,32.4326,32.4326,7.18954
8586.75,0.00430331,172.132,68.8529,34.4265,34.4265,17.2132,17.2132,7.18427
