pred 40t vol,prop,act vol,av1,av2,av3,av4,av5
43804.2,0.0545228,2180.91,872.365,436.183,436.183,218.091,218.091,21.0435
8379.09,0.0104294,417.177,166.871,83.4353,83.4353,41.7177,41.7177,21.0637
7936.04,0.00987795,395.118,158.047,79.0236,79.0236,39.5118,39.5118,21.0121
15068.3,0.0187554,750.217,300.087,150.043,150.043,75.0217,75.0217,21.2922
12465.2,0.0155154,620.617,248.247,124.123,124.123,62.0617,62.0617,21.4547
7521.93,0.00936251,374.5,149.8,74.9,74.9,37.45,37.45,21.3435
10014.4,0.0124649,498.596,199.439,99.7193,99.7193,49.8596,49.8596,21.2273
9396.36,0.0116956,467.824,187.13,93.5648,93.5648,46.7824,46.7824,21.1019
6620.3,0.00824025,329.61,131.844,65.922,65.922,32.961,32.961,21.1143
7366.62,0.0091692,366.768,146.707,73.3536,73.3536,36.6768,36.6768,21.1944
8612.34,0.0107197,428.79,171.516,85.7579,85.7579,42.879,42.879,21.0731
13197.9,0.0164274,657.095,262.838,131.419,131.419,65.7095,65.7095,20.9527
8450.97,0.0105189,420.755,168.302,84.151,84.151,42.0755,42.0755,20.854
13947.4,0.0173602,694.409,277.764,138.882,138.882,69.4409,69.4409,20.8038
11381.8,0.0141669,566.676,226.67,113.335,113.335,56.6676,56.6676,20.9705
38400,0.0477963,1911.85,764.74,382.37,382.37,191.185,191.185,21.2762
16902.8,0.0210389,841.555,336.622,168.311,168.311,84.1555,84.1555,21.4575
9819.25,0.012222,488.879,195.551,97.7757,97.7757,48.8879,48.8879,21.3151
7507.83,0.00934495,373.798,149.519,74.7596,74.7596,37.3798,37.3798,21.2322
7981.39,0.00993439,397.376,158.95,79.4751,79.4751,39.7376,39.7376,21.1374
12601.1,0.0156845,627.381,250.952,125.476,125.476,62.7381,62.7381,21.1562
6230.06,0.00775453,310.181,124.072,62.0362,62.0362,31.0181,31.0181,21.1781
7380.25,0.00918616,367.446,146.979,73.4893,73.4893,36.7446,36.7446,21.325
6296.78,0.00783757,313.503,125.401,62.7006,62.7006,31.3503,31.3503,21.3431
5570.03,0.00693299,277.32,110.928,55.4639,55.4639,27.732,27.732,21.3275
4800.91,0.00597566,239.026,95.6106,47.8053,47.8053,23.9026,23.9026,21.2413
13655.3,0.0169967,679.868,271.947,135.974,135.974,67.9868,67.9868,21.2513
4680.84,0.00582622,233.049,93.2195,46.6098,46.6098,23.3049,23.3049,21.2692
11825.3,0.0147189,588.756,235.502,117.751,117.751,58.8756,58.8756,21.3573
5447.88,0.00678094,271.238,108.495,54.2475,54.2475,27.1238,27.1238,21.3481
5779.72,0.00719398,287.759,115.104,57.5519,57.5519,28.7759,28.7759,21.3957
5755.66,0.00716403,286.561,114.625,57.3123,57.3123,28.6561,28.6561,21.3752
6280,0.00781668,312.667,125.067,62.5335,62.5335,31.2667,31.2667,21.3301
7083.53,0.00881683,352.673,141.069,70.5347,70.5347,35.2673,35.2673,21.35
21174.5,0.0263558,1054.23,421.693,210.846,210.846,105.423,105.423,21.4915
10988.6,0.0136774,547.096,218.838,109.419,109.419,54.7096,54.7096,21.5827
7705.31,0.00959076,383.63,153.452,76.7261,76.7261,38.363,38.363,21.4336
5548.78,0.00690654,276.262,110.505,55.2523,55.2523,27.6262,27.6262,21.3707
5689.31,0.00708146,283.258,113.303,56.6517,56.6517,28.3258,28.3258,21.3412
5993.75,0.00746039,298.416,119.366,59.6831,59.6831,29.8416,29.8416,21.3265
10183,0.0126748,506.991,202.796,101.398,101.398,50.6991,50.6991,21.2978
10211.6,0.0127103,508.411,203.364,101.682,101.682,50.8411,50.8411,21.3287
14363.8,0.0178786,715.144,286.058,143.029,143.029,71.5144,71.5144,21.2973
3856.91,0.00480067,192.027,76.8107,38.4054,38.4054,19.2027,19.2027,21.3854
6863.16,0.00854253,341.701,136.681,68.3403,68.3403,34.1701,34.1701,21.2994
6018.12,0.00749073,299.629,119.852,59.9258,59.9258,29.9629,29.9629,21.2409
10556.9,0.0131401,525.605,210.242,105.121,105.121,52.5605,52.5605,21.2047
4969.19,0.00618512,247.405,98.9619,49.481,49.481,24.7405,24.7405,21.2384
8269.84,0.0102934,411.737,164.695,82.3474,82.3474,41.1737,41.1737,21.3523
7360.38,0.00916142,366.457,146.583,73.2914,73.2914,36.6457,36.6457,21.288
4824.56,0.00600511,240.204,96.0817,48.0409,48.0409,24.0204,24.0204,21.2111
5372,0.0066865,267.46,106.984,53.492,53.492,26.746,26.746,21.2067
