pred 40t vol,prop,act vol,av1,av2,av3,av4,av5
30638.3,0.0377555,1510.22,604.088,302.044,302.044,151.022,151.022,33.8906
13629.6,0.0167957,671.829,268.732,134.366,134.366,67.1829,67.1829,33.914
13728.7,0.0169178,676.712,270.685,135.342,135.342,67.6712,67.6712,34.0259
8294.8,0.0102217,408.866,163.547,81.7733,81.7733,40.8866,40.8866,33.9616
11184.5,0.0137827,551.307,220.523,110.261,110.261,55.1307,55.1307,33.906
9362.12,0.0115369,461.476,184.59,92.2952,92.2952,46.1476,46.1476,34.0082
8846.54,0.0109016,436.062,174.425,87.2125,87.2125,43.6062,43.6062,34.0042
6836.54,0.00842464,336.986,134.794,67.3971,67.3971,33.6986,33.6986,33.9185
8692.59,0.0107119,428.474,171.39,85.6948,85.6948,42.8474,42.8474,33.9133
7579.63,0.00934035,373.614,149.446,74.7228,74.7228,37.3614,37.3614,33.9193
7790.3,0.00959996,383.999,153.599,76.7997,76.7997,38.3999,38.3999,33.9158
8348.95,0.0102884,411.535,164.614,82.307,82.307,41.1535,41.1535,33.8544
9795.58,0.0120711,482.842,193.137,96.5684,96.5684,48.2842,48.2842,33.8339
27936,0.0344254,1377.02,550.807,275.404,275.404,137.702,137.702,33.729
13342,0.0164412,657.65,263.06,131.53,131.53,65.765,65.765,33.7144
12285.4,0.0151393,605.572,242.229,121.114,121.114,60.5572,60.5572,33.7828
9306.08,0.0114678,458.714,183.486,91.7428,91.7428,45.8714,45.8714,33.7515
5207.53,0.00641722,256.689,102.676,51.3378,51.3378,25.6689,25.6689,33.8166
13876,0.0170993,683.974,273.589,136.795,136.795,68.3974,68.3974,33.9117
12092.1,0.014901,596.04,238.416,119.208,119.208,59.604,59.604,33.9384
11535.8,0.0142155,568.62,227.448,113.724,113.724,56.862,56.862,33.983
13010.2,0.0160324,641.296,256.518,128.259,128.259,64.1296,64.1296,34.0472
6907.62,0.00851224,340.49,136.196,68.0979,68.0979,34.049,34.049,34.0125
5071.31,0.00624936,249.974,99.9897,49.9949,49.9949,24.9974,24.9974,33.9431
6164.78,0.00759684,303.873,121.549,60.7747,60.7747,30.3873,30.3873,33.9223
3698.91,0.00455815,182.326,72.9304,36.4652,36.4652,18.2326,18.2326,33.9193
4673,0.00575852,230.341,92.1363,46.0682,46.0682,23.0341,23.0341,33.9423
5136.5,0.00632969,253.188,101.275,50.6375,50.6375,25.3188,25.3188,34.0056
8735.97,0.0107653,430.612,172.245,86.1224,86.1224,43.0612,43.0612,34.0587
5578.31,0.00687413,274.965,109.986,54.9931,54.9931,27.4965,27.4965,34.0392
15812.4,0.0194856,779.424,311.77,155.885,155.885,77.9424,77.9424,34.1715
13115.4,0.016162,646.481,258.592,129.296,129.296,64.6481,64.6481,34.2226
9432.94,0.0116242,464.967,185.987,92.9934,92.9934,46.4967,46.4967,34.2436
6854.53,0.00844681,337.873,135.149,67.5745,67.5745,33.7873,33.7873,34.1725
7399.66,0.00911857,364.743,145.897,72.9485,72.9485,36.4743,36.4743,34.1649
4159.41,0.00512562,205.025,82.0099,41.005,41.005,20.5025,20.5025,34.1603
5104.75,0.00629056,251.623,100.649,50.3245,50.3245,25.1623,25.1623,34.105
4206.56,0.00518373,207.349,82.9397,41.4698,41.4698,20.7349,20.7349,34.1028
4463.56,0.00550043,220.017,88.0069,44.0035,44.0035,22.0017,22.0017,34.0716
3507.88,0.00432274,172.91,69.1639,34.5819,34.5819,17.291,17.291,34.0374
3615.28,0.0044551,178.204,71.2816,35.6408,35.6408,17.8204,17.8204,34.0496
4188,0.00516086,206.434,82.5737,41.2869,41.2869,20.6434,20.6434,34.0566
5187.47,0.0063925,255.7,102.28,51.14,51.14,25.57,25.57,34.0736
7501.47,0.00924403,369.761,147.905,73.9523,73.9523,36.9761,36.9761,34.0193
4267.66,0.00525902,210.361,84.1443,42.0721,42.0721,21.0361,21.0361,33.971
3838.41,0.00473005,189.202,75.6809,37.8404,37.8404,18.9202,18.9202,33.9693
3710.81,0.00457282,182.913,73.1651,36.5826,36.5826,18.2913,18.2913,33.9446
5558.81,0.0068501,274.004,109.602,54.8008,54.8008,27.4004,27.4004,33.9115
7748.5,0.00954845,381.938,152.775,76.3876,76.3876,38.1938,38.1938,33.9176
4418.06,0.00544436,217.774,87.1098,43.5549,43.5549,21.7774,21.7774,33.8959
5740.28,0.00707373,282.949,113.18,56.5898,56.5898,28.2949,28.2949,33.8708
3127.44,0.00385393,154.157,61.6629,30.8314,30.8314,15.4157,15.4157,33.8979
3890.41,0.00479413,191.765,76.7061,38.3531,38.3531,19.1765,19.1765,33.8833
3612.88,0.00445213,178.085,71.2341,35.6171,35.6171,17.8085,17.8085,33.8979
4963.69,0.00611673,244.669,97.8677,48.9339,48.9339,24.4669,24.4669,33.8798
2954.53,0.00364086,145.634,58.2537,29.1269,29.1269,14.5634,14.5634,33.8992
10650.9,0.0131251,525.003,210.001,105.001,105.001,52.5003,52.5003,33.8903
