pred 40t vol,prop,act vol,av1,av2,av3,av4,av5
47440.4,0.0591316,2365.26,946.105,473.053,473.053,236.526,236.526,18.976
14890.6,0.0185603,742.41,296.964,148.482,148.482,74.241,74.241,18.9209
13974.8,0.0174187,696.749,278.699,139.35,139.35,69.6749,69.6749,18.9729
11182.8,0.0139387,557.546,223.019,111.509,111.509,55.7546,55.7546,18.9434
12396.2,0.0154511,618.044,247.218,123.609,123.609,61.8044,61.8044,18.9937
10958.5,0.0136591,546.363,218.545,109.273,109.273,54.6363,54.6363,18.9563
15814.1,0.0197113,788.452,315.381,157.69,157.69,78.8452,78.8452,18.983
10361.1,0.0129145,516.582,206.633,103.316,103.316,51.6582,51.6582,18.8371
10623.6,0.0132417,529.667,211.867,105.933,105.933,52.9667,52.9667,18.969
13717.9,0.0170985,683.941,273.577,136.788,136.788,68.3941,68.3941,19.0734
5963.34,0.00743295,297.318,118.927,59.4636,59.4636,29.7318,29.7318,18.9498
9146.5,0.0114006,456.022,182.409,91.2045,91.2045,45.6022,45.6022,18.8078
11406.9,0.014218,568.72,227.488,113.744,113.744,56.872,56.872,18.7661
13378.8,0.0166759,667.036,266.814,133.407,133.407,66.7036,66.7036,18.8453
5951.98,0.00741879,296.751,118.701,59.3503,59.3503,29.6751,29.6751,18.9392
14568.6,0.0181588,726.354,290.542,145.271,145.271,72.6354,72.6354,19.0536
17701.1,0.0220633,882.534,353.013,176.507,176.507,88.2534,88.2534,19.1226
12399,0.0154545,618.182,247.273,123.636,123.636,61.8182,61.8182,19.1528
13144.6,0.0163839,655.357,262.143,131.071,131.071,65.5357,65.5357,19.2031
9984.25,0.0124448,497.79,199.116,99.5581,99.5581,49.779,49.779,19.1455
8563.25,0.0106736,426.943,170.777,85.3886,85.3886,42.6943,42.6943,19.0764
7771.53,0.00968674,387.47,154.988,77.4939,77.4939,38.747,38.747,19.1107
8056.94,0.0100425,401.699,160.68,80.3399,80.3399,40.1699,40.1699,19.179
5782.28,0.00720726,288.291,115.316,57.6581,57.6581,28.8291,28.8291,19.1505
7317.34,0.00912062,364.825,145.93,72.965,72.965,36.4825,36.4825,19.1678
5398.84,0.00672933,269.173,107.669,53.8346,53.8346,26.9173,26.9173,19.1447
10528.6,0.0131232,524.929,209.971,104.986,104.986,52.4929,52.4929,19.1996
4499.56,0.00560843,224.337,89.7349,44.8675,44.8675,22.4337,22.4337,19.181
8924.09,0.0111233,444.934,177.973,88.9867,88.9867,44.4934,44.4934,19.1337
10111.1,0.0126029,504.116,201.646,100.823,100.823,50.4116,50.4116,19.1529
