pred 40t vol,prop,act vol,av1,av2,av3,av4,av5
54297.5,0.065703,2628.12,1051.25,525.624,525.624,262.812,262.812,15.8677
35853.6,0.0433849,1735.4,694.158,347.079,347.079,173.54,173.54,15.5696
11860.9,0.0143523,574.093,229.637,114.819,114.819,57.4093,57.4093,15.8651
19426.7,0.0235074,940.295,376.118,188.059,188.059,94.0295,94.0295,15.8079
19124.8,0.0231421,925.685,370.274,185.137,185.137,92.5685,92.5685,15.6117
18982.2,0.0229695,918.78,367.512,183.756,183.756,91.878,91.878,15.6624
22846,0.0276449,1105.8,442.319,221.16,221.16,110.58,110.58,15.6328
22559.6,0.0272984,1091.93,436.774,218.387,218.387,109.193,109.193,15.5153
38901.4,0.0470729,1882.92,753.167,376.583,376.583,188.292,188.292,15.1995
28447.7,0.0344233,1376.93,550.773,275.387,275.387,137.693,137.693,15.0892
61541.6,0.0744689,2978.75,1191.5,595.751,595.751,297.875,297.875,14.6336
23711.2,0.028692,1147.68,459.071,229.536,229.536,114.768,114.768,14.6822
16001.1,0.0193623,774.491,309.796,154.898,154.898,77.4491,77.4491,15.0023
14435.5,0.0174677,698.709,279.484,139.742,139.742,69.8709,69.8709,15.0507
11502.4,0.0139185,556.741,222.696,111.348,111.348,55.6741,55.6741,14.9573
8317.31,0.0100644,402.577,161.031,80.5154,80.5154,40.2577,40.2577,15.1087
5696.53,0.00689313,275.725,110.29,55.145,55.145,27.5725,27.5725,15.0279
8471.56,0.0102511,410.043,164.017,82.0086,82.0086,41.0043,41.0043,15.109
8380.22,0.0101405,405.622,162.249,81.1243,81.1243,40.5622,40.5622,15.1612
9363.59,0.0113305,453.219,181.288,90.6438,90.6438,45.3219,45.3219,15.391
5542.22,0.0067064,268.256,107.302,53.6512,53.6512,26.8256,26.8256,15.3003
4658.31,0.00563682,225.473,90.1892,45.0946,45.0946,22.5473,22.5473,15.3491
6575.84,0.00795714,318.286,127.314,63.6572,63.6572,31.8286,31.8286,15.2874
8261.12,0.00999643,399.857,159.943,79.9714,79.9714,39.9857,39.9857,15.1538
7070.59,0.00855582,342.233,136.893,68.4466,68.4466,34.2233,34.2233,15.1188
6024.12,0.00728953,291.581,116.633,58.3163,58.3163,29.1581,29.1581,15.1064
5347.12,0.00647032,258.813,103.525,51.7626,51.7626,25.8813,25.8813,15.0691
7196.31,0.00870795,348.318,139.327,69.6636,69.6636,34.8318,34.8318,15.1328
2391.06,0.00289332,115.733,46.2931,23.1466,23.1466,11.5733,11.5733,15.2149
3108.22,0.00376112,150.445,60.1779,30.089,30.089,15.0445,15.0445,15.2381
3948.09,0.00477742,191.097,76.4387,38.2193,38.2193,19.1097,19.1097,15.202
2791.16,0.00337746,135.098,54.0393,27.0197,27.0197,13.5098,13.5098,15.2024
3934.09,0.00476048,190.419,76.1676,38.0838,38.0838,19.0419,19.0419,15.184
4529.34,0.00548076,219.231,87.6922,43.8461,43.8461,21.9231,21.9231,15.1463
2603.94,0.00315091,126.036,50.4146,25.2073,25.2073,12.6036,12.6036,15.1651
2579.53,0.00312138,124.855,49.9421,24.971,24.971,12.4855,12.4855,15.1628
2394.91,0.00289797,115.919,46.3676,23.1838,23.1838,11.5919,11.5919,15.2009
3152.78,0.00381504,152.602,61.0407,30.5204,30.5204,15.2602,15.2602,15.2243
3051,0.00369188,147.675,59.0701,29.5351,29.5351,14.7675,14.7675,15.215
2098.44,0.00253923,101.569,40.6277,20.3138,20.3138,10.1569,10.1569,15.2056
5723.62,0.00692591,277.036,110.815,55.4073,55.4073,27.7036,27.7036,15.2106
1634.5,0.00197784,79.1135,31.6454,15.8227,15.8227,7.91135,7.91135,15.2086
3844,0.00465146,186.058,74.4233,37.2117,37.2117,18.6058,18.6058,15.184
2647.12,0.00320317,128.127,51.2507,25.6254,25.6254,12.8127,12.8127,15.1541
3484.19,0.00421606,168.643,67.457,33.7285,33.7285,16.8643,16.8643,15.1217
35661.2,0.0431521,1726.08,690.433,345.216,345.216,172.608,172.608,14.8427
12073.4,0.0146095,584.382,233.753,116.876,116.876,58.4382,58.4382,14.6878
10692.9,0.012939,517.559,207.024,103.512,103.512,51.7559,51.7559,14.7611
5212.62,0.00630757,252.303,100.921,50.4606,50.4606,25.2303,25.2303,14.8362
2839.31,0.00343573,137.429,54.9717,27.4858,27.4858,13.7429,13.7429,14.9236
3614.56,0.00437383,174.953,69.9812,34.9906,34.9906,17.4953,17.4953,14.9033
5598.19,0.00677412,270.965,108.386,54.193,54.193,27.0965,27.0965,14.8707
2355.44,0.00285021,114.009,45.6034,22.8017,22.8017,11.4009,11.4009,14.8251
2367.69,0.00286504,114.601,45.8406,22.9203,22.9203,11.4601,11.4601,14.832
2877.75,0.00348224,139.29,55.7159,27.8579,27.8579,13.929,13.929,14.8807
2888.38,0.0034951,139.804,55.9216,27.9608,27.9608,13.9804,13.9804,14.9148
5993.5,0.00725248,290.099,116.04,58.0198,58.0198,29.0099,29.0099,14.9274
17884.7,0.0216415,865.659,346.264,173.132,173.132,86.5659,86.5659,14.7249
4316.31,0.00522298,208.919,83.5677,41.7839,41.7839,20.8919,20.8919,14.7569
3254.81,0.00393851,157.54,63.0161,31.5081,31.5081,15.754,15.754,14.8998
2657.44,0.00321565,128.626,51.4504,25.7252,25.7252,12.8626,12.8626,14.8537
3042.38,0.00368145,147.258,58.9031,29.4516,29.4516,14.7258,14.7258,14.8018
4292.56,0.00519424,207.77,83.1079,41.554,41.554,20.777,20.777,14.8621
2615.56,0.00316498,126.599,50.6397,25.3198,25.3198,12.6599,12.6599,14.9485
3117.81,0.00377273,150.909,60.3637,30.1818,30.1818,15.0909,15.0909,14.9893
2768.31,0.00334982,133.993,53.597,26.7985,26.7985,13.3993,13.3993,15.0041
2785.88,0.00337107,134.843,53.9371,26.9685,26.9685,13.4843,13.4843,14.9847
3336.94,0.00403788,161.515,64.6061,32.3031,32.3031,16.1515,16.1515,15.0405
2128.38,0.00257545,103.018,41.2073,20.6036,20.6036,10.3018,10.3018,15.0315
2143.94,0.00259429,103.771,41.5086,20.7543,20.7543,10.3771,10.3771,15.034
3666,0.00443607,177.443,70.9771,35.4885,35.4885,17.7443,17.7443,15.0058
5385.75,0.00651706,260.683,104.273,52.1365,52.1365,26.0683,26.0683,14.9529
5105.69,0.00617817,247.127,98.8507,49.4254,49.4254,24.7127,24.7127,14.8887
7161.56,0.0086659,346.636,138.654,69.3272,69.3272,34.6636,34.6636,14.8399
3419.19,0.00413741,165.496,66.1986,33.0993,33.0993,16.5496,16.5496,14.862
3137.75,0.00379686,151.874,60.7497,30.3748,30.3748,15.1874,15.1874,14.861
4842.25,0.0058594,234.376,93.7504,46.8752,46.8752,23.4376,23.4376,14.834
4454.12,0.00538974,215.59,86.2359,43.118,43.118,21.559,21.559,14.8009
7050.38,0.00853135,341.254,136.502,68.2508,68.2508,34.1254,34.1254,14.7535
7778.06,0.0094119,376.476,150.59,75.2952,75.2952,37.6476,37.6476,14.7296
9388.94,0.0113611,454.446,181.778,90.8892,90.8892,45.4446,45.4446,14.7149
8295.69,0.0100383,401.53,160.612,80.306,80.306,40.153,40.153,14.7427
4317.12,0.00522397,208.959,83.5835,41.7917,41.7917,20.8959,20.8959,14.8578
2543,0.00307717,123.087,49.2348,24.6174,24.6174,12.3087,12.3087,14.8861
5469.62,0.00661856,264.742,105.897,52.9485,52.9485,26.4742,26.4742,14.9971
4449.94,0.00538468,215.387,86.1548,43.0774,43.0774,21.5387,21.5387,15.0706
4888.94,0.00591589,236.636,94.6543,47.3271,47.3271,23.6636,23.6636,15.004
2298.12,0.00278086,111.234,44.4938,22.2469,22.2469,11.1234,11.1234,14.9633
2646.31,0.00320219,128.088,51.235,25.6175,25.6175,12.8088,12.8088,15.0477
3937.31,0.00476437,190.575,76.2299,38.115,38.115,19.0575,19.0575,15.0783
4205,0.00508829,203.532,81.4126,40.7063,40.7063,20.3532,20.3532,15.0982
5313.62,0.00642979,257.192,102.877,51.4383,51.4383,25.7192,25.7192,15.045
3734.56,0.00451903,180.761,72.3045,36.1523,36.1523,18.0761,18.0761,15.0107
2825.69,0.00341924,136.77,54.7079,27.3539,27.3539,13.677,13.677,14.9813
3209.56,0.00388375,155.35,62.14,31.07,31.07,15.535,15.535,14.9589
2555.12,0.00309185,123.674,49.4695,24.7348,24.7348,12.3674,12.3674,14.9497
2957.81,0.00357912,143.165,57.2659,28.633,28.633,14.3165,14.3165,14.9333
3589.69,0.00434373,173.749,69.4996,34.7498,34.7498,17.3749,17.3749,14.9048
4138.94,0.00500835,200.334,80.1336,40.0668,40.0668,20.0334,20.0334,14.8719
2903.25,0.0035131,140.524,56.2096,28.1048,28.1048,14.0524,14.0524,14.878
