pred 40t vol,prop,act vol,av1,av2,av3,av4,av5
56026.4,0.0612644,2450.58,980.23,490.115,490.115,245.058,245.058,7.80239
42825.7,0.0468295,1873.18,749.271,374.636,374.636,187.318,187.318,7.78196
27683.2,0.0302713,1210.85,484.341,242.171,242.171,121.085,121.085,7.76816
19407.6,0.0212221,848.882,339.553,169.776,169.776,84.8882,84.8882,7.77918
13037.6,0.0142565,570.259,228.104,114.052,114.052,57.0259,57.0259,7.81356
13183.4,0.014416,576.639,230.656,115.328,115.328,57.6639,57.6639,7.81822
14964.2,0.0163632,654.529,261.812,130.906,130.906,65.4529,65.4529,7.8279
14853.5,0.0162422,649.687,259.875,129.937,129.937,64.9687,64.9687,7.84942
7898.92,0.0086374,345.496,138.198,69.0992,69.0992,34.5496,34.5496,7.86026
15722.9,0.0171928,687.714,275.085,137.543,137.543,68.7714,68.7714,7.84454
16398.8,0.0179319,717.276,286.91,143.455,143.455,71.7276,71.7276,7.85869
21588.1,0.0236064,944.256,377.702,188.851,188.851,94.4256,94.4256,7.88815
35451.2,0.0387656,1550.62,620.249,310.124,310.124,155.062,155.062,7.95785
16182.5,0.0176954,707.817,283.127,141.563,141.563,70.7817,70.7817,7.93961
16964,0.0185499,741.998,296.799,148.4,148.4,74.1998,74.1998,7.95615
8869.97,0.00969923,387.969,155.188,77.5938,77.5938,38.7969,38.7969,7.94664
15648.2,0.0171112,684.446,273.778,136.889,136.889,68.4446,68.4446,7.94626
8806.66,0.00963,385.2,154.08,77.04,77.04,38.52,38.52,7.95929
10935.4,0.0119578,478.312,191.325,95.6624,95.6624,47.8312,47.8312,7.96203
19885.8,0.0217449,869.796,347.918,173.959,173.959,86.9796,86.9796,7.98698
27469.4,0.0300375,1201.5,480.601,240.3,240.3,120.15,120.15,8.01352
26526,0.0290059,1160.24,464.095,232.048,232.048,116.024,116.024,8.03397
18515.5,0.0202465,809.861,323.945,161.972,161.972,80.9861,80.9861,8.02562
12684.9,0.0138709,554.835,221.934,110.967,110.967,55.4835,55.4835,8.01118
6942.69,0.00759177,303.671,121.468,60.7341,60.7341,30.3671,30.3671,8.01647
9353.47,0.0102279,409.117,163.647,81.8235,81.8235,40.9117,40.9117,8.02245
4909.56,0.00536856,214.742,85.897,42.9485,42.9485,21.4742,21.4742,8.00958
11399.2,0.0124649,498.596,199.439,99.7193,99.7193,49.8596,49.8596,7.99461
5093.19,0.00556935,222.774,89.1097,44.5548,44.5548,22.2774,22.2774,8.00337
28368.3,0.0310205,1240.82,496.327,248.164,248.164,124.082,124.082,8.03297
7611.88,0.00832352,332.941,133.176,66.5881,66.5881,33.2941,33.2941,8.04257
31738.8,0.034706,1388.24,555.297,277.648,277.648,138.824,138.824,8.0588
12556.8,0.0137308,549.23,219.692,109.846,109.846,54.923,54.923,8.06903
16448.1,0.0179858,719.432,287.773,143.886,143.886,71.9432,71.9432,8.0611
16396.5,0.0179294,717.177,286.871,143.435,143.435,71.7177,71.7177,8.06264
9520.12,0.0104102,416.407,166.563,83.2814,83.2814,41.6407,41.6407,8.07028
4880.44,0.00533671,213.469,85.3874,42.6937,42.6937,21.3469,21.3469,8.06058
6776.19,0.0074097,296.388,118.555,59.2776,59.2776,29.6388,29.6388,8.04513
3548,0.00387971,155.188,62.0753,31.0376,31.0376,15.5188,15.5188,8.03811
5440.25,0.00594886,237.955,95.1818,47.5909,47.5909,23.7955,23.7955,8.02703
