pred 40t vol,prop,act vol,av1,av2,av3,av4,av5
39357.1,0.0620816,2483.26,993.306,496.653,496.653,248.326,248.326,6.68529
8260.5,0.01303,521.202,208.481,104.24,104.24,52.1202,52.1202,6.68394
16139.5,0.0254584,1018.33,407.334,203.667,203.667,101.833,101.833,6.70423
7979.78,0.0125872,503.49,201.396,100.698,100.698,50.349,50.349,6.704
8127.41,0.0128201,512.804,205.122,102.561,102.561,51.2804,51.2804,6.71271
12404.3,0.0195664,782.656,313.062,156.531,156.531,78.2656,78.2656,6.71146
11431.7,0.0180323,721.293,288.517,144.259,144.259,72.1293,72.1293,6.71541
7891.47,0.0124479,497.918,199.167,99.5835,99.5835,49.7918,49.7918,6.71435
5963.34,0.00940652,376.261,150.504,75.2522,75.2522,37.6261,37.6261,6.71397
5091.12,0.0080307,321.228,128.491,64.2456,64.2456,32.1228,32.1228,6.7139
28039.2,0.0442289,1769.15,707.662,353.831,353.831,176.915,176.915,6.69446
4630.67,0.00730439,292.175,116.87,58.4351,58.4351,29.2175,29.2175,6.69149
4851.77,0.00765314,306.126,122.45,61.2251,61.2251,30.6126,30.6126,6.6879
4011.94,0.0063284,253.136,101.254,50.6272,50.6272,25.3136,25.3136,6.69335
5882.02,0.00927825,371.13,148.452,74.226,74.226,37.113,37.113,6.71161
12953.3,0.0204324,817.296,326.919,163.459,163.459,81.7296,81.7296,6.73359
11835.9,0.0186699,746.796,298.718,149.359,149.359,74.6796,74.6796,6.75876
12181.6,0.0192152,768.607,307.443,153.721,153.721,76.8607,76.8607,6.76837
9664.97,0.0152454,609.818,243.927,121.964,121.964,60.9818,60.9818,6.77272
8376.16,0.0132125,528.499,211.4,105.7,105.7,52.8499,52.8499,6.76475
9906.73,0.0156268,625.072,250.029,125.014,125.014,62.5072,62.5072,6.77018
11535.1,0.0181954,727.817,291.127,145.563,145.563,72.7817,72.7817,6.77733
7982.06,0.0125908,503.634,201.454,100.727,100.727,50.3634,50.3634,6.78353
5122.52,0.00808022,323.209,129.283,64.6417,64.6417,32.3209,32.3209,6.78289
8433.61,0.0133031,532.124,212.85,106.425,106.425,53.2124,53.2124,6.77976
5347.66,0.00843535,337.414,134.966,67.4828,67.4828,33.7414,33.7414,6.77754
7609.28,0.0120028,480.113,192.045,96.0226,96.0226,48.0113,48.0113,6.77792
7982.03,0.0125908,503.632,201.453,100.726,100.726,50.3632,50.3632,6.77709
10780.8,0.0170056,680.225,272.09,136.045,136.045,68.0225,68.0225,6.78023
10986.1,0.0173294,693.177,277.271,138.635,138.635,69.3177,69.3177,6.78112
11220.4,0.0176989,707.957,283.183,141.591,141.591,70.7957,70.7957,6.78371
8190.75,0.01292,516.801,206.72,103.36,103.36,51.6801,51.6801,6.77921
5572.19,0.00878953,351.581,140.632,70.3162,70.3162,35.1581,35.1581,6.78864
4541.62,0.00716392,286.557,114.623,57.3114,57.3114,28.6557,28.6557,6.79366
33541.6,0.0529083,2116.33,846.532,423.266,423.266,211.633,211.633,6.82311
21572.8,0.0340287,1361.15,544.46,272.23,272.23,136.115,136.115,6.84142
5746.72,0.00906483,362.593,145.037,72.5186,72.5186,36.2593,36.2593,6.83711
4981.81,0.00785827,314.331,125.732,62.8662,62.8662,31.4331,31.4331,6.82296
