pred 40t vol,prop,act vol,av1,av2,av3,av4,av5
66722,0.0473451,1893.8,757.521,378.76,378.76,189.38,189.38,19.156
45041.8,0.031961,1278.44,511.377,255.688,255.688,127.844,127.844,19.3183
37512.2,0.0266182,1064.73,425.891,212.946,212.946,106.473,106.473,19.4445
57668.2,0.0409206,1636.83,654.73,327.365,327.365,163.683,163.683,19.6347
58257.2,0.0413385,1653.54,661.417,330.708,330.708,165.354,165.354,19.7273
74623.1,0.0529516,2118.06,847.225,423.612,423.612,211.806,211.806,19.8942
41037.9,0.0291199,1164.8,465.919,232.96,232.96,116.48,116.48,19.8444
26182.3,0.0185786,743.145,297.258,148.629,148.629,74.3145,74.3145,19.6993
50292.2,0.0356867,1427.47,570.987,285.493,285.493,142.747,142.747,19.9511
38025.8,0.0269826,1079.3,431.722,215.861,215.861,107.93,107.93,19.9481
23471.2,0.0166548,666.193,266.477,133.239,133.239,66.6193,66.6193,19.8309
20514.9,0.0145571,582.284,232.914,116.457,116.457,58.2284,58.2284,19.7667
17830.9,0.0126526,506.102,202.441,101.22,101.22,50.6102,50.6102,19.7921
25260.5,0.0179245,716.981,286.792,143.396,143.396,71.6981,71.6981,19.8707
28894.7,0.0205033,820.132,328.053,164.026,164.026,82.0132,82.0132,19.9411
24649.1,0.0174907,699.628,279.851,139.926,139.926,69.9628,69.9628,19.9794
11556.1,0.00820008,328.003,131.201,65.6006,65.6006,32.8003,32.8003,19.9015
27421.6,0.019458,778.321,311.328,155.664,155.664,77.8321,77.8321,20.0153
35866.4,0.0254503,1018.01,407.205,203.603,203.603,101.801,101.801,20.0742
17019.2,0.0120766,483.066,193.226,96.6131,96.6131,48.3066,48.3066,19.9928
13868.6,0.00984095,393.638,157.455,78.7276,78.7276,39.3638,39.3638,19.9752
12922.5,0.00916964,366.786,146.714,73.3571,73.3571,36.6786,36.6786,20.0182
10362,0.00735274,294.11,117.644,58.8219,58.8219,29.411,29.411,19.9438
11875.5,0.0084267,337.068,134.827,67.4136,67.4136,33.7068,33.7068,19.9141
10862.4,0.0077078,308.312,123.325,61.6624,61.6624,30.8312,30.8312,19.9691
8671.44,0.00615314,246.126,98.4502,49.2251,49.2251,24.6126,24.6126,19.9963
11309.1,0.00802476,320.991,128.396,64.1981,64.1981,32.0991,32.0991,20.0031
8574.75,0.00608453,243.381,97.3525,48.6762,48.6762,24.3381,24.3381,20.0032
11940.1,0.00847256,338.902,135.561,67.7805,67.7805,33.8902,33.8902,20.0135
9186.31,0.00651849,260.74,104.296,52.1479,52.1479,26.074,26.074,20.0013
7200.69,0.00510951,204.381,81.7522,40.8761,40.8761,20.4381,20.4381,19.9876
10951.2,0.00777086,310.835,124.334,62.1669,62.1669,31.0835,31.0835,19.9153
11111.4,0.00788449,315.379,126.152,63.0759,63.0759,31.5379,31.5379,19.8512
10648.4,0.00755599,302.24,120.896,60.4479,60.4479,30.224,30.224,19.8561
7835.62,0.00556006,222.402,88.9609,44.4805,44.4805,22.2402,22.2402,19.8762
7002.62,0.00496897,198.759,79.5035,39.7518,39.7518,19.8759,19.8759,19.9164
6449.44,0.00457644,183.057,73.223,36.6115,36.6115,18.3057,18.3057,19.9136
4006.81,0.00284318,113.727,45.4909,22.7455,22.7455,11.3727,11.3727,19.9068
5989.69,0.0042502,170.008,68.0033,34.0016,34.0016,17.0008,17.0008,19.8527
9223.06,0.00654457,261.783,104.713,52.3565,52.3565,26.1783,26.1783,19.8268
16175.3,0.0114778,459.112,183.645,91.8223,91.8223,45.9112,45.9112,19.7579
7995.38,0.00567341,226.937,90.7746,45.3873,45.3873,22.6937,22.6937,19.7589
5485.19,0.00389222,155.689,62.2755,31.1377,31.1377,15.5689,15.5689,19.786
6785.88,0.00481517,192.607,77.0427,38.5213,38.5213,19.2607,19.2607,19.7786
9052.5,0.00642354,256.941,102.777,51.3883,51.3883,25.6941,25.6941,19.7454
