pred 40t vol,prop,act vol,av1,av2,av3,av4,av5
32544.9,0.0471371,1885.48,754.193,377.097,377.097,188.548,188.548,4.67665
21839.1,0.0316311,1265.25,506.098,253.049,253.049,126.525,126.525,4.67887
11601.1,0.0168027,672.106,268.842,134.421,134.421,67.2106,67.2106,4.67678
11710.2,0.0169607,678.428,271.371,135.686,135.686,67.8428,67.8428,4.66958
3150.3,0.00456281,182.512,73.0049,36.5024,36.5024,18.2512,18.2512,4.67782
7297.77,0.0105699,422.794,169.118,84.5589,84.5589,42.2794,42.2794,4.67538
11438.5,0.0165672,662.69,265.076,132.538,132.538,66.269,66.269,4.67575
9678.84,0.0140185,560.742,224.297,112.148,112.148,56.0742,56.0742,4.66576
22059.8,0.0319507,1278.03,511.211,255.606,255.606,127.803,127.803,4.6483
6683.36,0.00967997,387.199,154.88,77.4398,77.4398,38.7199,38.7199,4.66059
16197.5,0.02346,938.399,375.359,187.68,187.68,93.8399,93.8399,4.64526
6574.62,0.00952249,380.899,152.36,76.1799,76.1799,38.0899,38.0899,4.64721
6746.88,0.00977197,390.879,156.351,78.1757,78.1757,39.0879,39.0879,4.64608
4641.89,0.00672317,268.927,107.571,53.7854,53.7854,26.8927,26.8927,4.6472
13752.6,0.0199189,796.754,318.702,159.351,159.351,79.6754,79.6754,4.65631
20544.7,0.0297563,1190.25,476.1,238.05,238.05,119.025,119.025,4.66883
24435.6,0.0353917,1415.67,566.268,283.134,283.134,141.567,141.567,4.69868
22671.5,0.0328368,1313.47,525.388,262.694,262.694,131.347,131.347,4.72191
24584,0.0356068,1424.27,569.709,284.854,284.854,142.427,142.427,4.71583
6481.03,0.00938693,375.477,150.191,75.0954,75.0954,37.5477,37.5477,4.70667
38546.3,0.0558293,2233.17,893.268,446.634,446.634,223.317,223.317,4.71701
13724.9,0.0198788,795.151,318.061,159.03,159.03,79.5151,79.5151,4.7075
2601.03,0.00376725,150.69,60.2761,30.138,30.138,15.069,15.069,4.70378
3018.56,0.00437199,174.88,69.9519,34.976,34.976,17.488,17.488,4.70265
4838.38,0.00700776,280.31,112.124,56.062,56.062,28.031,28.031,4.70034
7319.72,0.0106017,424.066,169.627,84.8133,84.8133,42.4066,42.4066,4.69303
4376.19,0.00633834,253.533,101.413,50.7067,50.7067,25.3533,25.3533,4.70509
3594.84,0.00520666,208.267,83.3066,41.6533,41.6533,20.8267,20.8267,4.7022
883.781,0.00128004,51.2017,20.4807,10.2403,10.2403,5.12017,5.12017,4.70152
10812.9,0.0156611,626.445,250.578,125.289,125.289,62.6445,62.6445,4.7146
3725.34,0.00539567,215.827,86.3308,43.1654,43.1654,21.5827,21.5827,4.71094
3986.03,0.00577325,230.93,92.3719,46.186,46.186,23.093,23.093,4.7042
2804.09,0.00406136,162.455,64.9818,32.4909,32.4909,16.2455,16.2455,4.70502
7645.41,0.0110734,442.935,177.174,88.587,88.587,44.2935,44.2935,4.71632
12877.1,0.0186508,746.033,298.413,149.207,149.207,74.6033,74.6033,4.72272
3900.66,0.00564959,225.984,90.3935,45.1967,45.1967,22.5984,22.5984,4.71486
6247.72,0.00904901,361.96,144.784,72.392,72.392,36.196,36.196,4.70845
1460.28,0.00211503,84.6011,33.8404,16.9202,16.9202,8.46011,8.46011,4.70029
4596.31,0.00665716,266.286,106.515,53.2573,53.2573,26.6286,26.6286,4.6964
2595.19,0.00375879,150.352,60.1407,30.0703,30.0703,15.0352,15.0352,4.69735
6921.81,0.0100253,401.014,160.405,80.2027,80.2027,40.1014,40.1014,4.68325
1248.06,0.00180766,72.3062,28.9225,14.4612,14.4612,7.23062,7.23062,4.67613
1667.03,0.00241448,96.5791,38.6316,19.3158,19.3158,9.65791,9.65791,4.67782
1105.22,0.00160077,64.0306,25.6122,12.8061,12.8061,6.40306,6.40306,4.67775
10484.5,0.0151855,607.419,242.968,121.484,121.484,60.7419,60.7419,4.67644
5637.97,0.00816586,326.635,130.654,65.3269,65.3269,32.6635,32.6635,4.67233
1312.34,0.00190076,76.0303,30.4121,15.2061,15.2061,7.60303,7.60303,4.67882
3100.62,0.00449085,179.634,71.8536,35.9268,35.9268,17.9634,17.9634,4.67812
1116.47,0.00161706,64.6824,25.873,12.9365,12.9365,6.46824,6.46824,4.67522
3030.56,0.00438937,175.575,70.23,35.115,35.115,17.5575,17.5575,4.67587
2779.81,0.0040262,161.048,64.4191,32.2096,32.2096,16.1048,16.1048,4.67862
1504.78,0.00217948,87.1792,34.8717,17.4358,17.4358,8.71792,8.71792,4.67735
2213.38,0.00320579,128.231,51.2926,25.6463,25.6463,12.8231,12.8231,4.67926
6405.03,0.00927685,371.074,148.43,74.2148,74.2148,37.1074,37.1074,4.68231
3447.09,0.00499267,199.707,79.8827,39.9413,39.9413,19.9707,19.9707,4.68767
3401.53,0.00492667,197.067,78.8268,39.4134,39.4134,19.7067,19.7067,4.68064
2372.56,0.00343635,137.454,54.9816,27.4908,27.4908,13.7454,13.7454,4.67802
4912.84,0.00711561,284.625,113.85,56.9249,56.9249,28.4625,28.4625,4.67454
6661.44,0.00964822,385.929,154.372,77.1858,77.1858,38.5929,38.5929,4.66388
8967.5,0.0129883,519.53,207.812,103.906,103.906,51.953,51.953,4.66025
9691.66,0.0140371,561.484,224.594,112.297,112.297,56.1484,56.1484,4.66048
1408.47,0.00203998,81.5993,32.6397,16.3199,16.3199,8.15993,8.15993,4.66497
4289.09,0.00621219,248.488,99.3951,49.6975,49.6975,24.8488,24.8488,4.65607
6275.47,0.0090892,363.568,145.427,72.7136,72.7136,36.3568,36.3568,4.65893
8565.62,0.0124062,496.248,198.499,99.2495,99.2495,49.6248,49.6248,4.67065
3972.75,0.00575401,230.16,92.0642,46.0321,46.0321,23.016,23.016,4.67915
4664.06,0.00675529,270.211,108.085,54.0423,54.0423,27.0211,27.0211,4.68551
3594,0.00520544,208.218,83.287,41.6435,41.6435,20.8218,20.8218,4.68519
4704.44,0.00681376,272.551,109.02,54.5101,54.5101,27.2551,27.2551,4.66436
10042.8,0.0145457,581.828,232.731,116.366,116.366,58.1828,58.1828,4.65593
4355.81,0.00630883,252.353,100.941,50.4706,50.4706,25.2353,25.2353,4.65589
1747.5,0.00253103,101.241,40.4964,20.2482,20.2482,10.1241,10.1241,4.66018
3150.31,0.00456282,182.513,73.0051,36.5025,36.5025,18.2513,18.2513,4.66281
2427.69,0.00351619,140.648,56.259,28.1295,28.1295,14.0648,14.0648,4.66141
7247.25,0.0104967,419.868,167.947,83.9736,83.9736,41.9868,41.9868,4.6523
2792.25,0.00404421,161.768,64.7074,32.3537,32.3537,16.1768,16.1768,4.64932
3065.19,0.00443952,177.581,71.0324,35.5162,35.5162,17.7581,17.7581,4.64924
3244.44,0.00469914,187.966,75.1863,37.5932,37.5932,18.7966,18.7966,4.65684
2693.31,0.00390091,156.036,62.4146,31.2073,31.2073,15.6036,15.6036,4.65073
4569.94,0.00661896,264.758,105.903,52.9517,52.9517,26.4758,26.4758,4.64996
7473.12,0.0108238,432.954,173.182,86.5908,86.5908,43.2954,43.2954,4.64703
3134.25,0.00453955,181.582,72.6328,36.3164,36.3164,18.1582,18.1582,4.64805
8368.94,0.0121213,484.853,193.941,96.9705,96.9705,48.4853,48.4853,4.64972
5099.94,0.00738659,295.464,118.186,59.0928,59.0928,29.5464,29.5464,4.65282
3660.38,0.00530158,212.063,84.8252,42.4126,42.4126,21.2063,21.2063,4.64818
3756.88,0.00544134,217.654,87.0615,43.5307,43.5307,21.7654,21.7654,4.64158
6786.06,0.00982873,393.149,157.26,78.6298,78.6298,39.3149,39.3149,4.64439
11401.8,0.016514,660.562,264.225,132.112,132.112,66.0562,66.0562,4.65715
2660.25,0.00385303,154.121,61.6484,30.8242,30.8242,15.4121,15.4121,4.66362
5124.75,0.00742253,296.901,118.761,59.3803,59.3803,29.6901,29.6901,4.66172
12021.5,0.0174116,696.463,278.585,139.293,139.293,69.6463,69.6463,4.65411
3551.56,0.00514398,205.759,82.3036,41.1518,41.1518,20.5759,20.5759,4.65912
1924.38,0.00278721,111.488,44.5953,22.2977,22.2977,11.1488,11.1488,4.65071
1916.31,0.00277553,111.021,44.4085,22.2042,22.2042,11.1021,11.1021,4.65122
2124.12,0.00307652,123.061,49.2243,24.6121,24.6121,12.3061,12.3061,4.65043
3431.88,0.00497062,198.825,79.53,39.765,39.765,19.8825,19.8825,4.64756
2708.44,0.00392282,156.913,62.7651,31.3825,31.3825,15.6913,15.6913,4.65216
3790.88,0.00549059,219.624,87.8494,43.9247,43.9247,21.9624,21.9624,4.64884
5749.38,0.00832722,333.089,133.236,66.6178,66.6178,33.3089,33.3089,4.64871
850.312,0.00123157,49.2627,19.7051,9.85253,9.85253,4.92627,4.92627,4.64877
