pred 40t vol,prop,act vol,av1,av2,av3,av4,av5
11052.7,0.0411461,1645.84,658.337,329.169,329.169,164.584,164.584,69.1594
6963.4,0.0259228,1036.91,414.765,207.383,207.383,103.691,103.691,69.3225
5663.46,0.0210835,843.341,337.336,168.668,168.668,84.3341,84.3341,69.0395
2746.92,0.010226,409.041,163.616,81.8082,81.8082,40.9041,40.9041,69.1783
6171.23,0.0229738,918.952,367.581,183.79,183.79,91.8952,91.8952,69.3402
3474.4,0.0129342,517.37,206.948,103.474,103.474,51.737,51.737,69.3865
7702.63,0.0286748,1146.99,458.796,229.398,229.398,114.699,114.699,69.4014
2858.09,0.0106399,425.595,170.238,85.119,85.119,42.5595,42.5595,69.2203
2195.04,0.00817151,326.861,130.744,65.3721,65.3721,32.6861,32.6861,69.1999
3032.68,0.0112898,451.593,180.637,90.3187,90.3187,45.1593,45.1593,69.1832
3637.83,0.0135426,541.705,216.682,108.341,108.341,54.1705,54.1705,68.7142
3390.54,0.012622,504.882,201.953,100.976,100.976,50.4882,50.4882,68.4603
3860.39,0.0143712,574.847,229.939,114.969,114.969,57.4847,57.4847,68.4563
4698.88,0.0174926,699.706,279.882,139.941,139.941,69.9706,69.9706,68.1431
6553.74,0.0243978,975.911,390.365,195.182,195.182,97.5911,97.5911,68.0997
4007.23,0.0149178,596.712,238.685,119.342,119.342,59.6712,59.6712,68.2203
4637.54,0.0172643,690.571,276.229,138.114,138.114,69.0571,69.0571,68.5254
2283.18,0.00849965,339.986,135.994,67.9972,67.9972,33.9986,33.9986,68.5458
3326.21,0.0123826,495.303,198.121,99.0606,99.0606,49.5303,49.5303,68.6346
4089.24,0.0152231,608.925,243.57,121.785,121.785,60.8925,60.8925,68.7208
3630.35,0.0135148,540.592,216.237,108.118,108.118,54.0592,54.0592,68.4396
1989.73,0.00740724,296.289,118.516,59.2579,59.2579,29.6289,29.6289,68.5007
2963.98,0.0110341,441.363,176.545,88.2726,88.2726,44.1363,44.1363,68.3226
2032.3,0.00756568,302.627,121.051,60.5255,60.5255,30.2627,30.2627,68.2371
2093.09,0.00779201,311.681,124.672,62.3361,62.3361,31.1681,31.1681,68.2897
1899.52,0.0070714,282.856,113.142,56.5712,56.5712,28.2856,28.2856,68.3137
3839.34,0.0142928,571.713,228.685,114.343,114.343,57.1713,57.1713,68.5121
2448.37,0.0091146,364.584,145.834,72.9168,72.9168,36.4584,36.4584,68.6776
4212.21,0.0156809,627.236,250.894,125.447,125.447,62.7236,62.7236,68.4771
1930.45,0.00718652,287.461,114.984,57.4921,57.4921,28.7461,28.7461,68.5071
2423.12,0.0090206,360.824,144.33,72.1648,72.1648,36.0824,36.0824,68.5799
1598.97,0.00595252,238.101,95.2404,47.6202,47.6202,23.8101,23.8101,68.4749
2241.95,0.00834618,333.847,133.539,66.7694,66.7694,33.3847,33.3847,68.5592
2456.27,0.00914403,365.761,146.305,73.1523,73.1523,36.5761,36.5761,68.6908
4400.42,0.0163816,655.263,262.105,131.053,131.053,65.5263,65.5263,68.9536
2301.06,0.00856622,342.649,137.06,68.5298,68.5298,34.2649,34.2649,68.9677
1793.16,0.00667543,267.017,106.807,53.4034,53.4034,26.7017,26.7017,68.958
1696.5,0.0063156,252.624,101.05,50.5248,50.5248,25.2624,25.2624,68.7509
1565.64,0.00582845,233.138,93.2552,46.6276,46.6276,23.3138,23.3138,68.6036
1549.97,0.00577011,230.804,92.3217,46.1609,46.1609,23.0804,23.0804,68.4389
4830.97,0.0179844,719.375,287.75,143.875,143.875,71.9375,71.9375,68.202
2281.81,0.00849456,339.782,135.913,67.9565,67.9565,33.9782,33.9782,68.1108
1702.77,0.00633893,253.557,101.423,50.7114,50.7114,25.3557,25.3557,68.053
1513.27,0.00563347,225.339,90.1356,45.0678,45.0678,22.5339,22.5339,68.0828
2744.61,0.0102174,408.697,163.479,81.7394,81.7394,40.8697,40.8697,68.1067
2683.58,0.00999023,399.609,159.844,79.9218,79.9218,39.9609,39.9609,68.0734
1246.25,0.00463945,185.578,74.2312,37.1156,37.1156,18.5578,18.5578,68.0294
4430.56,0.0164938,659.751,263.9,131.95,131.95,65.9751,65.9751,67.997
2470.69,0.00919769,367.908,147.163,73.5815,73.5815,36.7908,36.7908,68.1458
1002.39,0.00373163,149.265,59.706,29.853,29.853,14.9265,14.9265,67.9845
1248.36,0.0046473,185.892,74.3568,37.1784,37.1784,18.5892,18.5892,67.945
1201.88,0.00447425,178.97,71.588,35.794,35.794,17.897,17.897,67.9217
3481.7,0.0129614,518.457,207.383,103.691,103.691,51.8457,51.8457,67.7579
1622.58,0.00604041,241.617,96.6466,48.3233,48.3233,24.1617,24.1617,67.7048
2903.39,0.0108085,432.341,172.936,86.4682,86.4682,43.2341,43.2341,67.7734
3512.95,0.0130778,523.11,209.244,104.622,104.622,52.311,52.311,67.6422
2137.31,0.00795663,318.265,127.306,63.653,63.653,31.8265,31.8265,67.762
1291.16,0.00480662,192.265,76.9059,38.453,38.453,19.2265,19.2265,67.7363
4219,0.0157062,628.247,251.299,125.649,125.649,62.8247,62.8247,67.984
1519.83,0.0056579,226.316,90.5265,45.2632,45.2632,22.6316,22.6316,67.8689
5106.25,0.0190092,760.367,304.147,152.073,152.073,76.0367,76.0367,67.5502
2280.27,0.0084888,339.552,135.821,67.9104,67.9104,33.9552,33.9552,67.4918
1631.2,0.00607252,242.901,97.1604,48.5802,48.5802,24.2901,24.2901,67.4914
2016.56,0.00750711,300.284,120.114,60.0569,60.0569,30.0284,30.0284,67.6491
2809.05,0.0104573,418.292,167.317,83.6585,83.6585,41.8292,41.8292,67.493
2693.7,0.0100279,401.117,160.447,80.2233,80.2233,40.1117,40.1117,67.4726
1692.23,0.00629972,251.989,100.796,50.3978,50.3978,25.1989,25.1989,67.5994
1808.67,0.00673319,269.328,107.731,53.8655,53.8655,26.9328,26.9328,67.6415
2612.7,0.00972638,389.055,155.622,77.811,77.811,38.9055,38.9055,67.8047
2241.5,0.00834449,333.78,133.512,66.7559,66.7559,33.378,33.378,67.7935
2710.45,0.0100903,403.611,161.444,80.7222,80.7222,40.3611,40.3611,67.8245
6761.25,0.0251703,1006.81,402.724,201.362,201.362,100.681,100.681,68.0832
3292.16,0.0122558,490.232,196.093,98.0464,98.0464,49.0232,49.0232,68.2097
1653.3,0.00615477,246.191,98.4763,49.2382,49.2382,24.6191,24.6191,68.1412
1772.47,0.00659841,263.937,105.575,52.7873,52.7873,26.3937,26.3937,68.0937
2659.88,0.00990199,396.079,158.432,79.2159,79.2159,39.6079,39.6079,68.1396
1220.92,0.00454516,181.806,72.7225,36.3613,36.3613,18.1806,18.1806,68.1583
1789.03,0.00666007,266.403,106.561,53.2806,53.2806,26.6403,26.6403,68.047
1214.34,0.00452067,180.827,72.3307,36.1653,36.1653,18.0827,18.0827,67.9845
1080.53,0.00402252,160.901,64.3603,32.1802,32.1802,16.0901,16.0901,67.957
1243.28,0.00462839,185.136,74.0543,37.0272,37.0272,18.5136,18.5136,67.919
1268.75,0.00472321,188.928,75.5713,37.7857,37.7857,18.8928,18.8928,67.9147
769.125,0.00286324,114.53,45.8119,22.9059,22.9059,11.453,11.453,67.9624
957.688,0.00356521,142.608,57.0433,28.5217,28.5217,14.2608,14.2608,67.9778
1437.02,0.00534962,213.985,85.5938,42.7969,42.7969,21.3985,21.3985,68.0094
1533.61,0.00570921,228.368,91.3473,45.6737,45.6737,22.8368,22.8368,68.0414
1719,0.00639937,255.975,102.39,51.1949,51.1949,25.5975,25.5975,67.951
1174.72,0.00437316,174.926,69.9705,34.9852,34.9852,17.4926,17.4926,67.9184
1045.52,0.00389217,155.687,62.2747,31.1373,31.1373,15.5687,15.5687,67.8779
1600.3,0.00595747,238.299,95.3195,47.6597,47.6597,23.8299,23.8299,67.8762
1505,0.0056027,224.108,89.6432,44.8216,44.8216,22.4108,22.4108,68.0542
852.109,0.00317217,126.887,50.7547,25.3774,25.3774,12.6887,12.6887,68.0043
947.609,0.00352769,141.108,56.443,28.2215,28.2215,14.1108,14.1108,68.0008
1060.67,0.00394859,157.944,63.1775,31.5887,31.5887,15.7944,15.7944,68.037
1409.16,0.0052459,209.836,83.9344,41.9672,41.9672,20.9836,20.9836,68.0423
1202.61,0.00447699,179.079,71.6318,35.8159,35.8159,17.9079,17.9079,68.0389
1329.72,0.00495018,198.007,79.2029,39.6014,39.6014,19.8007,19.8007,68.0874
2140.38,0.00796803,318.721,127.488,63.7442,63.7442,31.8721,31.8721,68.1481
4278.12,0.0159263,637.051,254.821,127.41,127.41,63.7051,63.7051,68.144
2665.84,0.00992421,396.968,158.787,79.3936,79.3936,39.6968,39.6968,67.902
